2004 9.7% exptime_sum = 321.3, observe_time_sum = 3311.8
2005 10.4% exptime_sum = 341.9, observe_time_sum = 3298.6
2006 11.1% exptime_sum = 365.7, observe_time_sum = 3298.7
2007 11.9% exptime_sum = 391.6, observe_time_sum = 3298.7
2008 10.8% exptime_sum = 358.3, observe_time_sum = 3311.8
2009 10.4% exptime_sum = 342.1, observe_time_sum = 3298.7
2010 13.4% exptime_sum = 442.6, observe_time_sum = 3298.7
2011 21.0% exptime_sum = 691.8, observe_time_sum = 3298.7
2012 18.5% exptime_sum = 612.2, observe_time_sum = 3311.9
2013 17.4% exptime_sum = 572.7, observe_time_sum = 3298.8
2014 16.8% exptime_sum = 552.6, observe_time_sum = 3298.8
2015 18.8% exptime_sum = 621.6, observe_time_sum = 3298.8
2016 2.8% exptime_sum = 92.0, observe_time_sum = 3311.9
2017 5.2% exptime_sum = 172.4, observe_time_sum = 3298.8
