2004 0.0% exptime_sum = 0.0, observe_time_sum = 3311.8
2005 0.0% exptime_sum = 0.0, observe_time_sum = 3298.6
2006 0.3% exptime_sum = 11.1, observe_time_sum = 3298.7
2007 0.7% exptime_sum = 22.3, observe_time_sum = 3298.7
2008 0.0% exptime_sum = 0.0, observe_time_sum = 3311.8
2009 0.0% exptime_sum = 0.6, observe_time_sum = 3298.7
2010 0.2% exptime_sum = 8.0, observe_time_sum = 3298.7
2011 0.2% exptime_sum = 7.8, observe_time_sum = 3298.7
2012 0.0% exptime_sum = 1.2, observe_time_sum = 3311.9
2013 0.2% exptime_sum = 5.0, observe_time_sum = 3298.8
2014 0.0% exptime_sum = 0.0, observe_time_sum = 3298.8
2015 1.2% exptime_sum = 38.5, observe_time_sum = 3298.8
2016 0.5% exptime_sum = 17.2, observe_time_sum = 3311.9
2017 4.3% exptime_sum = 142.3, observe_time_sum = 3298.8
